country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"IITG, Guwahati - PCBA","21-08-2025 09:00:00",26.2028636,91.70046436,OZONE,1,14,3
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","21-08-2025 09:00:00",30.751462,76.762879,PM10,32,84,54
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","21-08-2025 09:00:00",30.719859,76.738637,NO2,NA,NA,NA
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","21-08-2025 09:00:00",21.194815,81.314770,PM10,4,33,12
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","21-08-2025 09:00:00",21.185571,81.343175,PM2.5,12,28,19
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","21-08-2025 09:00:00",21.185571,81.343175,PM10,10,23,16
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","21-08-2025 09:00:00",21.185571,81.343175,NO2,5,30,7
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","21-08-2025 09:00:00",22.348441,82.549611,SO2,4,13,9
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","21-08-2025 09:00:00",22.126650,83.483212,PM2.5,NA,NA,NA
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","21-08-2025 09:00:00",22.126650,83.483212,NH3,NA,NA,NA
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","21-08-2025 09:00:00",22.126650,83.483212,CO,NA,NA,NA
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","21-08-2025 09:00:00",22.126650,83.483212,OZONE,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","21-08-2025 09:00:00",22.1910172,83.5197009,SO2,1,5,3
